,date,open,high,low,close,volume,oi
1130,2022-07-19 09:20:00+05:30,671.95,671.95,664.8,664.8,2250,221150
1131,2022-07-19 09:21:00+05:30,664.8,664.8,664.8,664.8,0,221150
1132,2022-07-19 09:22:00+05:30,664.8,676.6,664.8,676.6,50,221150
1133,2022-07-19 09:23:00+05:30,676.6,676.6,671.65,672.1,150,221100
1134,2022-07-19 09:24:00+05:30,672.1,678.55,672.1,678.55,50,221100
1135,2022-07-19 09:25:00+05:30,678.55,678.55,677.0,677.0,500,221100
1136,2022-07-19 09:26:00+05:30,677.0,677.0,677.0,677.0,0,221100
1137,2022-07-19 09:27:00+05:30,677.0,678.55,676.0,678.55,350,220900
1138,2022-07-19 09:28:00+05:30,678.55,682.25,678.55,682.05,550,220900
1139,2022-07-19 09:29:00+05:30,682.05,682.05,680.85,680.85,50,220400
1140,2022-07-19 09:30:00+05:30,680.85,687.15,680.85,687.15,50,220400
1141,2022-07-19 09:31:00+05:30,687.15,687.15,687.15,687.15,0,220400
1142,2022-07-19 09:32:00+05:30,687.15,687.15,687.15,687.15,0,220400
1143,2022-07-19 09:33:00+05:30,687.15,687.15,687.15,687.15,0,220400
1144,2022-07-19 09:34:00+05:30,687.15,687.15,678.15,678.15,50,220350
1145,2022-07-19 09:35:00+05:30,678.15,678.15,678.15,678.15,0,220350
1146,2022-07-19 09:36:00+05:30,678.15,678.15,673.05,674.0,100,220300
1147,2022-07-19 09:37:00+05:30,674.0,676.6,674.0,676.6,150,220300
1148,2022-07-19 09:38:00+05:30,676.6,677.25,675.55,675.55,200,220350
1149,2022-07-19 09:39:00+05:30,675.55,675.55,670.65,670.65,200,220350
1150,2022-07-19 09:40:00+05:30,670.65,671.15,670.65,671.15,100,220350
1151,2022-07-19 09:41:00+05:30,671.15,671.15,671.15,671.15,0,220350
1152,2022-07-19 09:42:00+05:30,671.15,686.0,671.15,686.0,50,220650
1153,2022-07-19 09:43:00+05:30,686.0,689.5,686.0,689.5,150,220650
1154,2022-07-19 09:44:00+05:30,689.5,689.5,689.5,689.5,0,220650
1155,2022-07-19 09:45:00+05:30,689.5,689.5,689.5,689.5,0,220650
1156,2022-07-19 09:46:00+05:30,689.5,689.5,689.5,689.5,0,220650
1157,2022-07-19 09:47:00+05:30,689.5,689.5,689.5,689.5,0,220650
1158,2022-07-19 09:48:00+05:30,689.5,689.5,689.5,689.5,0,220650
1159,2022-07-19 09:49:00+05:30,689.5,689.5,689.5,689.5,0,220650
1160,2022-07-19 09:50:00+05:30,689.5,689.5,689.5,689.5,0,220650
1161,2022-07-19 09:51:00+05:30,689.5,699.45,689.5,699.45,50,220550
1162,2022-07-19 09:52:00+05:30,699.45,699.45,699.45,699.45,0,220550
1163,2022-07-19 09:53:00+05:30,699.45,699.45,699.45,699.45,0,220550
1164,2022-07-19 09:54:00+05:30,699.45,699.45,699.45,699.45,0,220550
1165,2022-07-19 09:55:00+05:30,699.45,699.45,699.45,699.45,0,220550
1166,2022-07-19 09:56:00+05:30,699.45,699.45,694.95,695.3,200,220550
1167,2022-07-19 09:57:00+05:30,695.3,695.3,695.3,695.3,0,220550
1168,2022-07-19 09:58:00+05:30,695.3,695.3,692.9,693.6,200,220550
1169,2022-07-19 09:59:00+05:30,693.6,699.55,693.6,699.55,50,220350
1170,2022-07-19 10:00:00+05:30,699.55,699.55,699.55,699.55,0,220350
1171,2022-07-19 10:01:00+05:30,699.55,699.55,699.55,699.55,0,220350
1172,2022-07-19 10:02:00+05:30,699.55,699.55,699.55,699.55,0,220350
1173,2022-07-19 10:03:00+05:30,699.55,699.55,697.75,699.0,200,220400
1174,2022-07-19 10:04:00+05:30,699.0,699.0,699.0,699.0,0,220400
1175,2022-07-19 10:05:00+05:30,699.0,699.0,699.0,699.0,0,220400
1176,2022-07-19 10:06:00+05:30,699.0,699.0,692.25,692.8,350,220300
1177,2022-07-19 10:07:00+05:30,692.8,694.05,692.8,694.05,100,220300
1178,2022-07-19 10:08:00+05:30,694.05,694.05,694.05,694.05,0,220300
1179,2022-07-19 10:09:00+05:30,694.05,694.05,694.05,694.05,0,220300
1180,2022-07-19 10:10:00+05:30,694.05,710.0,694.05,710.0,50,220000
1181,2022-07-19 10:11:00+05:30,710.0,710.0,710.0,710.0,50,220000
1182,2022-07-19 10:12:00+05:30,710.0,718.5,710.0,718.5,100,220000
1183,2022-07-19 10:13:00+05:30,718.5,718.5,718.5,718.5,0,220000
1184,2022-07-19 10:14:00+05:30,718.5,718.5,718.5,718.5,0,220000
1185,2022-07-19 10:15:00+05:30,718.5,718.5,718.5,718.5,0,220000
1186,2022-07-19 10:16:00+05:30,718.5,718.5,707.35,707.35,500,220000
1187,2022-07-19 10:17:00+05:30,707.35,709.9,707.35,709.9,400,220000
1188,2022-07-19 10:18:00+05:30,709.9,709.9,709.9,709.9,0,220000
1189,2022-07-19 10:19:00+05:30,709.9,709.9,709.9,709.9,0,220000
1190,2022-07-19 10:20:00+05:30,709.9,709.9,709.9,709.9,0,220000
1191,2022-07-19 10:21:00+05:30,709.9,709.9,707.0,707.0,50,219900
1192,2022-07-19 10:22:00+05:30,707.0,707.0,707.0,707.0,0,219900
1193,2022-07-19 10:23:00+05:30,707.0,707.0,707.0,707.0,0,219900
1194,2022-07-19 10:24:00+05:30,707.0,707.0,707.0,707.0,0,219900
1195,2022-07-19 10:25:00+05:30,707.0,707.0,707.0,707.0,0,219900
1196,2022-07-19 10:26:00+05:30,707.0,707.0,707.0,707.0,0,219900
1197,2022-07-19 10:27:00+05:30,707.0,707.0,707.0,707.0,0,219900
1198,2022-07-19 10:28:00+05:30,707.0,708.0,707.0,708.0,50,219900
1199,2022-07-19 10:29:00+05:30,708.0,708.0,708.0,708.0,0,219900
1200,2022-07-19 10:30:00+05:30,708.0,708.0,708.0,708.0,0,219900
1201,2022-07-19 10:31:00+05:30,708.0,708.0,708.0,708.0,0,219900
1202,2022-07-19 10:32:00+05:30,708.0,708.0,708.0,708.0,0,219900
1203,2022-07-19 10:33:00+05:30,708.0,708.0,708.0,708.0,0,219900
1204,2022-07-19 10:34:00+05:30,708.0,708.0,708.0,708.0,0,219900
1205,2022-07-19 10:35:00+05:30,708.0,708.0,708.0,708.0,50,219850
1206,2022-07-19 10:36:00+05:30,708.0,708.0,708.0,708.0,0,219850
1207,2022-07-19 10:37:00+05:30,708.0,708.9,708.0,708.9,50,219900
1208,2022-07-19 10:38:00+05:30,708.9,712.5,708.9,712.5,0,219900
1209,2022-07-19 10:39:00+05:30,712.5,712.5,712.5,712.5,0,219900
1210,2022-07-19 10:40:00+05:30,712.5,712.5,712.5,712.5,0,219900
1211,2022-07-19 10:41:00+05:30,712.5,712.5,712.5,712.5,0,219900
1212,2022-07-19 10:42:00+05:30,712.5,720.45,712.5,720.45,0,219850
1213,2022-07-19 10:43:00+05:30,720.45,720.45,720.45,720.45,50,219850
1214,2022-07-19 10:44:00+05:30,720.45,720.45,720.45,720.45,0,219850
1215,2022-07-19 10:45:00+05:30,720.45,720.45,720.45,720.45,0,219850
1216,2022-07-19 10:46:00+05:30,720.45,720.45,720.45,720.45,0,219850
1217,2022-07-19 10:47:00+05:30,720.45,720.45,720.45,720.45,0,219850
1218,2022-07-19 10:48:00+05:30,720.45,720.45,720.45,720.45,0,219850
1219,2022-07-19 10:49:00+05:30,720.45,720.45,720.45,720.45,0,219850
1220,2022-07-19 10:50:00+05:30,720.45,720.45,720.45,720.45,0,219850
1221,2022-07-19 10:51:00+05:30,720.45,728.0,720.45,728.0,100,219800
1222,2022-07-19 10:52:00+05:30,728.0,728.0,728.0,728.0,0,219800
1223,2022-07-19 10:53:00+05:30,728.0,728.0,726.95,726.95,950,219650
1224,2022-07-19 10:54:00+05:30,726.95,726.95,726.95,726.95,0,219650
1225,2022-07-19 10:55:00+05:30,726.95,726.95,726.95,726.95,0,219650
1226,2022-07-19 10:56:00+05:30,728.0,730.7,728.0,730.7,300,219650
1227,2022-07-19 10:57:00+05:30,730.7,735.0,730.7,735.0,100,219450
1228,2022-07-19 10:58:00+05:30,735.0,735.0,734.1,734.1,100,219450
1229,2022-07-19 10:59:00+05:30,734.1,734.1,734.1,734.1,0,219450
1230,2022-07-19 11:00:00+05:30,734.1,734.1,734.1,734.1,0,219450
1231,2022-07-19 11:01:00+05:30,734.1,734.1,734.1,734.1,0,219450
1232,2022-07-19 11:02:00+05:30,734.1,734.1,734.1,734.1,0,219450
1233,2022-07-19 11:03:00+05:30,734.1,734.1,734.1,734.1,0,219450
1234,2022-07-19 11:04:00+05:30,734.1,734.1,734.1,734.1,0,219450
1235,2022-07-19 11:05:00+05:30,734.1,736.05,734.1,736.05,50,219250
1236,2022-07-19 11:06:00+05:30,736.05,736.05,736.05,736.05,0,219250
1237,2022-07-19 11:07:00+05:30,736.05,736.05,736.05,736.05,0,219250
